ticker,bar,price,ret_1M,ret_3M,ret_6M,ret_12M,system
ACB,25,72.7868881225586,68.52145362374,218.75992039263238,205.24641566118885,217.96502068116564,💎 ASH STRONG solo
ALDX,40,7.199999809265137,-12.499995032946131,-5.555550404536735,4.166669426141034,91.6666743931949,💎 ASH STRONG solo
ALEC,25,20.139999389648438,-3.177752775788978,3.4260206304289387,13.306853954291809,-29.24528087461503,💎 ASH STRONG solo
ALT,90,8.569999694824219,-15.869308110928015,-22.403730079667973,-36.63943965344565,-38.623098994290864,💎 ASH STRONG solo
ANAB,104,20.413333892822266,19.46440194250558,58.327884433363295,81.12343454302962,,💎 ASH STRONG solo
ARDX,29,14.800000190734863,-4.054056579305588,-8.108106714865881,-68.2432449412572,-55.06756750225934,💎 ASH STRONG solo
BLNK,43,92.5,-29.729729729729726,-29.729729729729726,-34.05405405405405,-70.32432349952491,💎 ASH STRONG solo
BLNK,47,85.0,-26.470588235294112,-30.000000000000004,-45.29411764705882,-73.52941176470588,💎 ASH STRONG solo
BLNK,126,5.679999828338623,94.54226275860546,81.51409738039257,652.6408678167901,624.8239333307756,💎 ASH STRONG solo
HIVE,69,0.3499999940395355,0.0,14.285717934978305,71.42858115994217,3571.4287429439805,💎 ASH STRONG solo
HIVE,113,1.850000023841858,-2.702706534118826,2.702700090373522,413.513506895613,594.5946062629982,💎 ASH STRONG solo
HIVE,183,4.519999980926514,-10.840702946589909,,,,💎 ASH STRONG solo
JKS,114,14.087655067443848,22.561292912925612,24.468661168373053,-13.84196577072927,276.23976804188095,💎 ASH STRONG solo
KSS,35,24.814313888549805,6.261526365375403,17.857881034265823,3.7487373986796246,-1.7714043831568493,💎 ASH STRONG solo
KSS,59,28.23189353942871,-15.298842162319415,-2.57065381187751,-15.052572204315428,-6.885120793684862,💎 ASH STRONG solo
KSS,81,27.753053665161133,-1.7505953193797663,0.4823652204415385,8.98507710304315,8.785284558505623,💎 ASH STRONG solo
KSS,133,28.659170150756836,-7.23885721085511,20.460673305576815,47.13039873991549,70.39898216777047,💎 ASH STRONG solo
LOVE,71,28.110000610351562,-19.67271635209099,-17.32479805582079,34.18712344962618,-31.910355837558768,💎 ASH STRONG solo
LX,42,9.404918670654297,-35.836728936746866,-51.918362136135364,-68.4897932136334,-81.79591608891383,💎 ASH STRONG solo
