ticker,interval,date,type,entry_price,source,wt2,ret_1M,ret_3M,ret_6M,ret_12M,bulls,bears
ABSI,1mo,2025-02-01 00:00:00,BUY,3.8499999046325684,WaveTrend,-12.52660706597708,-34.80519343797742,-31.16882698675445,-37.92207365957666,-28.83116682055502,,
ABSI,1mo,2025-10-01 00:00:00,BUY,4.28000020980835,WaveTrend,-27.07930364944197,-25.934581287417924,-30.14019011763951,16.238309830721697,,,
ABSI,1mo,2026-04-01 00:00:00,BUY,4.974999904632568,WaveTrend,-16.566434382506248,35.67839456066333,,,,,
ACB,1mo,2017-02-01 00:00:00,SELL,222.1793670654297,WaveTrend,84.28682326759461,1.3020829219819507,-10.000002060333857,4.166668097454074,321.8750040777441,,
ACB,1mo,2018-03-01 00:00:00,SELL_PLUS,841.2728881835938,WaveTrend,97.98338287775546,-13.356254600184347,-2.751030858462866,36.93535310371197,29.232733687551303,,
ACB,1mo,2018-11-01 00:00:00,SELL,686.4000244140625,WaveTrend,68.49309424595803,-13.286714592541438,32.1678292452644,32.69230119425808,-56.29370784826362,,
ACB,1mo,2020-11-01 00:00:00,BUY,116.80000305175781,WaveTrend,-38.86655763766353,-28.85274289137062,-9.93151181543659,-17.29452401528231,-45.0342506242974,,
ACB,1mo,2021-11-01 00:00:00,BUY,64.19999694824219,WaveTrend,-32.49769196054337,-15.732085598483248,-40.80996603374379,-74.14330035739319,-80.21806789258288,,
ACB,1mo,2022-10-01 00:00:00,BUY,14.300000190734863,WaveTrend,-47.022616873930446,-11.188813707194111,-27.272730910391495,-58.04195860159869,-69.16084063922321,,
ACB,1mo,2025-02-01 00:00:00,BUY,5.099999904632568,WaveTrend,-26.686560577381062,-13.92156963575718,3.9215743106313594,6.274513287161154,-24.70588262793377,,
ACB,1mo,2025-08-01 00:00:00,BUY,5.420000076293945,WaveTrend,-23.597163262949522,9.963098786933333,-15.129154245733368,-29.15129409380003,,,
AEVA,1mo,2021-11-01 00:00:00,BUY,49.75,WaveTrend,-46.80754187946726,-24.0201020360592,-57.78894472361809,-67.33668341708542,-83.11557865622056,,
AEVA,1mo,2022-07-01 00:00:00,BUY_GOLD,17.649999618530273,WaveTrend,-64.11343633018286,-12.74787562962768,-43.34277497943252,-52.124645938271286,-64.58923436214532,,
AEVA,1mo,2023-12-01 00:00:00,BUY,3.7899999618530273,WaveTrend,-48.6394526567762,12.40106257940472,3.693934203517113,-33.50923466251378,25.32981656489528,,
