type,entry_price,ret_1M,ret_3M,ret_6M,ret_12M,system
ASH_BUY,3.9600000381469727,30.303025194582077,19.696962764075664,11.111112449038018,-6.313131252316451,ASH L21
ASH_BUY_STRONG,3.7100000381469727,3.773581268088644,-17.250676504678275,-23.71967939063554,-19.40700865787178,ASH L21
ASH_BUY_STRONG,4.974999904632568,35.67839456066333,,,,ASH L21
ASH_BUY_STRONG,72.7868881225586,68.52145362374,218.75992039263238,205.24641566118885,217.96502068116564,ASH L21
ASH_BUY,5.960000038146973,-16.946312456666625,-29.1946348459472,-45.1342288591127,,ASH L21
ASH_BUY,4.75,-10.736846923828125,47.36842105263157,695.5789666426809,179.57894174676193,ASH L21
ASH_BUY_STRONG,7.0,1.5714304787772138,439.85715593610496,107.14285714285717,87.99999782017298,ASH L21
ASH_BUY,40.0099983215332,-8.947758476737256,-22.469378257712037,-27.218190300295152,-26.09347429312493,ASH L21
ASH_BUY_STRONG,37.18000030517578,-7.396449643431491,-36.92845462490486,-28.483055582744765,-61.135019659336656,ASH L21
ASH_BUY_STRONG,7.199999809265137,-12.499995032946131,-5.555550404536735,4.166669426141034,91.6666743931949,ASH L21
ASH_BUY,7.409999847412109,-9.85155241708181,-7.422398451057843,60.323891485502855,18.488527851151648,ASH L21
ASH_BUY,9.930000305175781,-4.028203020256694,-15.508559058657212,-32.72910752221399,-67.06948760895705,ASH L21
ASH_BUY,5.110000133514404,12.524458899484125,-57.92563524085921,14.28571428571428,6.849313023243608,ASH L21
ASH_BUY,4.989999771118164,17.03407656227722,1.60321451328016,7.414837261872864,,ASH L21
ASH_BUY_STRONG,20.139999389648438,-3.177752775788978,3.4260206304289387,13.306853954291809,-29.24528087461503,ASH L21
ASH_BUY,20.829999923706055,15.3864615239798,9.553527500753379,-0.8641397303651877,-51.22419642522759,ASH L21
ASH_BUY,9.279999732971191,15.40948649055549,81.78880737782204,31.788791962827247,36.31465498415596,ASH L21
ASH_BUY,22.079999923706055,-42.16485279941854,-54.936594911024514,-42.98007157567644,-88.54166675664953,ASH L21
ASH_BUY,9.4399995803833,28.17797584031694,-30.614401674910795,-32.62711423493343,-29.66101523686735,ASH L21
ASH_BUY_STRONG,8.569999694824219,-15.869308110928015,-22.403730079667973,-36.63943965344565,-38.623098994290864,ASH L21
ASH_BUY,9.829999923706055,-14.547307388346853,,,,ASH L21
ASH_BUY,17.286666870117188,-11.376786456692079,4.589277155333349,34.01466061846643,-21.71230621617638,ASH L21
ASH_BUY,19.233333587646484,-4.2287703670618075,-13.726176406011781,-27.833622542916835,-43.46620710473803,ASH L21
ASH_BUY,17.020000457763672,-11.790053367658137,-6.227969395460153,49.19701969499906,-34.11672838840699,ASH L21
ASH_BUY,16.366666793823242,-17.189410322780486,49.00203907609586,93.11608749112996,,ASH L21
ASH_BUY_STRONG,20.413333892822266,19.46440194250558,58.327884433363295,81.12343454302962,,ASH L21
ASH_BUY_STRONG,14.800000190734863,-4.054056579305588,-8.108106714865881,-68.2432449412572,-55.06756750225934,ASH L21
ASH_BUY,4.699999809265137,6.382983040626322,59.680859978893366,20.957450499735497,11.702132192657633,ASH L21
ASH_BUY,2.930000066757202,-1.706482975327095,52.21842786792523,34.47098865021807,197.95219601814944,ASH L21
ASH_BUY,5.829999923706055,31.903947819128376,2.7444228045615304,3.945111871069784,,ASH L21
ASH_BUY,21.34000015258789,-9.79381507799304,-24.36738859305421,-31.208996250191944,-51.96813530126902,ASH L21
ASH_BUY,1.7200000286102295,-20.930233041681802,34.30232002065925,166.27906090250028,111.04651477093172,ASH L21
ASH_BUY_STRONG,2.309999942779541,-5.194800369332064,98.2683998768893,68.39827711092823,96.10391004415182,ASH L21
ASH_BUY_STRONG,36.20000076293945,-14.364642688800899,-9.94475749432564,1.6574543134688424,-51.38121544050321,ASH L21
ASH_BUY_STRONG,3.359999895095825,-38.988094752371424,-55.35714146332671,-52.67856895771554,53.57142882484969,ASH L21
