type,entry_price,ret_1M,ret_3M,ret_6M,ret_12M,system
ASH_BUY,3.259999990463257,-31.288343064736278,-59.50920072657697,-34.66257298552207,13.80368248466679,ASH L21
ASH_BUY,2.4100000858306885,-30.29046109063338,-47.7178445813642,41.493774455834355,64.73028577680876,ASH L21
ASH_BUY_STRONG,1.8700000047683716,-29.411762080953054,-6.951871385034081,191.9786109210881,135.2941221469376,ASH L21
ASH_BUY,2.299999952316284,57.39130263517842,118.2608732609308,90.43479153249143,35.21738954663047,ASH L21
ASH_BUY,4.400000095367432,-9.772728578118228,-30.68182076797007,-12.500004063952963,-45.681816974947296,ASH L21
ASH_BUY,4.210000038146973,-32.54157034593913,-31.116387907591005,-26.603328119460734,7.600954127359683,ASH L21
ASH_BUY,3.7100000381469727,3.773581268088644,-18.32884258127503,-21.83288233021449,-19.40700865787178,ASH L21
ASH_BUY,2.9000000953674316,-17.586205989370473,47.58620927790249,3.1034452141253555,,ASH L21
ASH_BUY,3.380000114440918,26.62722085488154,6.804727007914657,-9.467460379489001,,ASH L21
ASH_BUY,3.5799999237060547,0.837988045505722,-33.519548459176605,78.77095619438121,,ASH L21
ASH_BUY_STRONG,3.5799999237060547,43.296095635954266,,,,ASH L21
ASH_BUY,31.938283920288086,19.202902813335122,33.695649512486185,47.10144767417867,264.49274371316,ASH L21
ASH_BUY,49.52748489379883,-22.42991071707088,-20.56075277434538,292.7569908281641,378.97195581442764,ASH L21
ASH_BUY_STRONG,57.85920715332031,46.00001160380087,194.00001740570133,252.0000073842369,280.00000527445496,ASH L21
ASH_BUY_STRONG,225.07232666015625,-1.7994839440989119,-14.190228835403119,14.652950372669382,273.778909503103,ASH L21
ASH_BUY,239.53712463378906,-5.797103572646856,7.6811541118611215,420.2898529490922,172.46375962245602,ASH L21
ASH_BUY,801.5999755859375,43.71257922730525,-14.37125183139738,9.880241344710527,-17.664668151023033,ASH L21
ASH_BUY,910.7999877929688,2.1080382591524005,10.013176705022264,-13.833992280272266,-77.60210773670205,ASH L21
ASH_BUY,104.69999694824219,-15.281757847528398,0.47755493273526906,-7.736388452929255,-35.14803867716934,ASH L21
ASH_BUY_STRONG,85.0,-27.999999102424177,-47.176468793083636,-66.58823574290555,-81.99999977560604,ASH L21
ASH_BUY,15.300000190734863,-26.14379052375606,-40.52287406518881,-63.398693890058055,-69.28104738121971,ASH L21
ASH_BUY,9.829999923706055,-48.72838249267378,-51.16988577833892,-67.65004993450401,-40.99694571972918,ASH L21
ASH_BUY,4.389999866485596,52.61959027412924,5.239180548258471,33.02962027794067,0.9111608899671664,ASH L21
ASH_BUY_STRONG,6.010000228881836,7.487517339893013,-8.985031915558729,-31.28119871620526,-25.291188017915744,ASH L21
ASH_BUY_STRONG,6.03000020980835,-21.061358818209364,-19.568826933975924,-25.704811555622264,-42.28855890563741,ASH L21
ASH_BUY_STRONG,4.809999942779541,14.345115705380461,0.6237049930402527,9.147610446044974,-29.521826502450953,ASH L21
ASH_BUY_STRONG,5.079999923706055,-4.133859080725532,-15.157480167140813,-30.118110125355614,,ASH L21
ASH_BUY_STRONG,5.400000095367432,-21.66666769687039,-36.4814813670144,-43.703705404357464,,ASH L21
ASH_BUY_STRONG,50.599998474121094,23.51779028603145,65.2173932710246,-7.114621704904356,-18.97232957236338,ASH L21
ASH_BUY,52.0,-25.09615237896259,-12.692304757925177,-66.34615384615384,-73.5576923076923,ASH L21
ASH_BUY,48.75,-14.15384928385417,-59.28205049954928,-67.58974319849258,-83.8974360930614,ASH L21
ASH_BUY_STRONG,23.0,-40.21739130434783,-60.86956521739131,-58.4782600402832,-74.78260786637017,ASH L21
ASH_BUY,8.649999618530273,-5.202310163125723,-43.93063446797429,-41.040460930111436,-38.72831879228003,ASH L21
ASH_BUY_STRONG,9.600000381469727,-38.02083778298546,-26.562500931322543,-48.437504035730996,-46.35416780494977,ASH L21
ASH_BUY,3.7899999618530273,12.79683742469684,3.693934203517113,-33.50923466251378,25.85752055243662,ASH L21
ASH_BUY,3.3299999237060547,21.62163013587999,43.24324595232545,101.50150726367633,354.9549539229236,ASH L21
ASH_BUY,6.710000038146973,9.090911029008897,442.9210148743346,125.78240733831775,90.2384541095759,ASH L21
ASH_BUY_STRONG,19.8700008392334,-37.59436791745664,-32.81328727923304,,,ASH L21
ASH_BUY_STRONG,15.15999984741211,-11.939310581532492,64.18205567394706,,,ASH L21
ASH_BUY_STRONG,15.729999542236328,30.16529546928901,,,,ASH L21
ASH_BUY_STRONG,21.34000015258789,-32.00562265636996,-43.345829118366986,21.274596887142707,77.1321413625977,ASH L21
ASH_BUY,17.770000457763672,26.111419640516843,0.2813688000705916,123.74787449238447,41.36184688874629,ASH L21
ASH_BUY_STRONG,25.280000686645508,75.98892590999502,20.846512686999198,15.941450434476344,4.390817535022062,ASH L21
ASH_BUY_STRONG,31.219999313354492,-16.04740659535757,-7.367070107771312,-6.9826984169555795,26.39333745146326,ASH L21
ASH_BUY,28.729999542236328,0.6613314900276723,-8.14479704097394,-11.277409755454403,9.850330556203591,ASH L21
ASH_BUY_STRONG,29.56999969482422,-2.062903674829375,-21.068649328822264,25.735545109537416,-10.077780091279243,ASH L21
ASH_BUY_STRONG,27.559999465942383,47.02467794978289,21.480407079142584,-15.203188345075358,-43.6864994248541,ASH L21
ASH_BUY_STRONG,25.75,-12.893202698346485,-25.592233602283066,-46.601941747572816,,ASH L21
ASH_BUY,9.680000305175781,-23.45041721279626,-35.330578186710504,-43.181819973092196,-39.7727299596383,ASH L21
ASH_BUY,5.960000038146973,-11.912752241654667,-2.1812099598800705,14.261743275035998,-26.174495516690666,ASH L21
ASH_BUY_STRONG,6.730000019073486,2.971765359558942,-30.9063880804031,-21.248140033965257,32.24367894958089,ASH L21
ASH_BUY,5.449999809265137,-14.67889434670595,-21.100911170221426,19.266059219852384,48.623865411876196,ASH L21
ASH_BUY,4.949999809265137,-11.111105759403184,44.94950438796166,38.383841789470694,72.72728323608102,ASH L21
ASH_BUY_STRONG,8.899999618530273,-19.382016873392548,-27.52808892445463,-4.494377928932192,-11.797750100028647,ASH L21
ASH_BUY_STRONG,8.0,8.124995231628418,-8.749997615814209,33.62499475479126,3.750002384185791,ASH L21
ASH_BUY,8.449999809265137,63.313615411016144,6.153851710073521,-2.011835267825046,-47.8106515153208,ASH L21
ASH_BUY_STRONG,9.100000381469727,30.989006336379575,-20.21978104896206,-18.131873659747043,-34.945056833746904,ASH L21
ASH_BUY,9.0,-9.999995761447478,-33.777777353922524,-37.333334816826714,-78.11111079321968,ASH L21
ASH_BUY,5.869999885559082,35.945488494902065,-9.028956444702075,-52.470187116753294,13.798977147720915,ASH L21
