ticker,interval,date,type,entry_price,source,wt2,ret_1M,ret_3M,ret_6M,ret_12M,bulls,bears
ABSI,1wk,2022-02-07 00:00:00,BUY,9.149999618530273,WaveTrend,-23.691411757886566,-1.4207559146049764,-58.1420755914605,-47.75955837060306,-71.42076373160789,,
ABSI,1wk,2022-06-13 00:00:00,BUY_GOLD,3.4800000190734863,WaveTrend,-60.12577283967034,-2.8735604621977107,5.459771729284202,-28.16091993397175,-49.71264395378023,,
ABSI,1wk,2022-09-05 00:00:00,BUY,4.139999866485596,WaveTrend,-26.587914744082294,-30.19323192980036,-36.71497656875111,-55.07246197367513,-60.3864724979553,,
ABSI,1wk,2022-10-31 00:00:00,BUY,2.9100000858306885,WaveTrend,-43.42534783601797,-8.934707312527014,15.120268241376266,-52.23367887640127,-51.20275205492639,,
ABSI,1wk,2023-01-02 00:00:00,BUY_GOLD,2.430000066757202,WaveTrend,-50.93171485692461,37.860074592635385,-28.80658553305536,-40.740740013965635,48.97118461358383,,
ABSI,1wk,2023-04-10 00:00:00,BUY,1.784999966621399,WaveTrend,-47.32280027669366,-29.97198748602964,12.044820022352587,-24.929968715074104,226.61064609098707,,
ABSI,1wk,2023-05-22 00:00:00,BUY_GOLD,1.7100000381469727,WaveTrend,-51.544378159262116,3.5087685053246886,-1.7543912239656678,-15.789472216567724,146.19882714792828,,
ABSI,1wk,2023-07-10 00:00:00,BUY,2.0,WaveTrend,-23.379398674072007,-16.00000262260437,-32.999998331069946,99.50000047683716,101.50001049041748,,
ABSI,1wk,2023-11-06 00:00:00,BUY,1.2699999809265137,WaveTrend,-42.46010042960403,81.10236116998568,238.58269726884944,286.61416701991413,220.4724592745392,,
ABSI,1wk,2024-07-15 00:00:00,BUY,3.9700000286102295,WaveTrend,-26.0623239953008,1.0075617124267078,6.045340247031672,-26.952139182159417,-21.41058279409397,,
ABSI,1wk,2024-09-16 00:00:00,BUY,4.320000171661377,WaveTrend,-5.600614751557099,-2.546299285726661,-30.78703956655504,-30.32407706350444,-39.58333816241316,,
ABSI,1wk,2024-12-09 00:00:00,BUY,3.694999933242798,WaveTrend,-44.08073836272374,-22.73342163316665,-15.02029332518946,-24.76319291973592,-1.4884933513477527,,
ABSI,1wk,2025-01-20 00:00:00,BUY,4.0,WaveTrend,-39.17982833011411,24.000000953674316,-21.74999713897705,-27.74999737739563,-27.249997854232788,,
ABSI,1wk,2025-04-21 00:00:00,BUY,3.130000114440918,WaveTrend,-22.14165906283789,-15.015974805936427,-7.667731653729093,36.42171964230816,25.878591474883184,,
ABSI,1wk,2025-06-02 00:00:00,BUY,3.0299999713897705,WaveTrend,-26.63837705816628,-8.580857852087787,-18.811879162538602,18.151813779193393,111.22112725406868,,
ABSI,1wk,2025-07-14 00:00:00,BUY,3.119999885559082,WaveTrend,-29.89668761925381,-6.089738005481793,45.19231974255684,-3.205125266043052,,,
ABSI,1wk,2025-09-22 00:00:00,BUY,2.7300000190734863,WaveTrend,-31.816883022129264,56.41025461881411,30.769227410276457,1.8315000720495744,,,
ABSI,1wk,2026-03-16 00:00:00,BUY,2.9600000381469727,WaveTrend,-35.69715351644671,20.945941809758082,150.33782945661505,,,,
ACB,1wk,2015-02-16 00:00:00,BUY_GOLD,58.437801361083984,WaveTrend,-57.832998082405254,-40.99009871259568,-36.43564620132529,-54.45544551223867,-10.89108975522679,,
ACB,1wk,2015-06-29 00:00:00,BUY_GOLD,27.656702041625977,WaveTrend,-50.54759728658973,-7.949792266620381,33.891220025935034,75.31380005775141,42.25941007071894,,
ACB,1wk,2015-08-10 00:00:00,BUY,27.078109741210938,WaveTrend,-43.440735672527204,9.401708619056448,89.74359443950748,82.90599073251246,99.57264800734367,,
ACB,1wk,2016-06-06 00:00:00,BUY,45.593055725097656,WaveTrend,-18.25894993380722,-11.928936091244058,105.07614408565766,293.1472247280903,323.0964564264263,,
ACB,1wk,2016-08-01 00:00:00,BUY,57.85920715332031,WaveTrend,-33.1572316793773,46.00001160380087,194.00001740570133,252.0000073842369,280.00000527445496,,
ACB,1wk,2016-10-31 00:00:00,SELL,170.1060791015625,WaveTrend,71.33058645001488,23.80952509097538,19.72788657984985,31.292514077770583,68.02720685693455,,
ACB,1wk,2017-07-10 00:00:00,BUY,216.39344787597656,WaveTrend,-23.994705448251437,2.673795924158129,24.973252239298628,343.8502644384493,251.28341654349614,,
ACB,1wk,2017-12-11 00:00:00,SELL_PLUS,634.021240234375,WaveTrend,89.12506389926669,51.48749437320921,51.304972639067884,25.20532732423524,10.911112685607094,,
ACB,1wk,2018-06-04 00:00:00,BUY,829.7010498046875,WaveTrend,-14.200121785431387,-1.255231972288584,-10.763036326354724,-16.837516336465196,10.49762899646618,,
ACB,1wk,2018-08-20 00:00:00,BUY,790.7999877929688,WaveTrend,-36.4327142092445,39.93930598518871,-7.890739041746486,5.614570700484944,-14.415781709628096,,
ACB,1wk,2019-01-07 00:00:00,BUY,765.5999755859375,WaveTrend,-22.887125259041664,18.965519440606716,39.18495422761745,6.112859237267809,-74.13793020977249,,
ACB,1wk,2019-09-09 00:00:00,BUY_GOLD,714.0,WaveTrend,-50.09450890161395,-38.15125964936756,-55.79831847289698,-87.05882331570324,-90.22408920843729,,
ACB,1wk,2019-10-28 00:00:00,BUY_GOLD,429.6000061035156,WaveTrend,-66.29925327609588,-30.167598757502677,-47.20670395030011,-80.36312862853538,-90.57262583226287,,
ACB,1wk,2019-12-09 00:00:00,BUY_GOLD,315.6000061035156,WaveTrend,-66.30205801400815,-37.26235862775721,-70.72243354280164,-58.143218140437135,-68.59949411990294,,
ACB,1wk,2020-03-23 00:00:00,BUY_GOLD,123.5999984741211,WaveTrend,-60.18131021490657,-29.126213951804814,0.8899664139975005,-59.14239431760713,-26.294498706490465,,
ACB,1wk,2020-10-26 00:00:00,BUY_GOLD,40.5,WaveTrend,-62.00856967523879,158.51851098331403,175.30864197530863,120.74074450834296,63.70371123890819,,
ACB,1wk,2021-05-24 00:00:00,BUY,96.5999984741211,WaveTrend,-28.476751080645027,-5.693581870473253,-25.672873513561324,-29.71014223766354,-82.60869616725593,,
ACB,1wk,2021-08-30 00:00:00,BUY,73.9000015258789,WaveTrend,-43.77214339872085,-4.194855764699157,-21.24492616883302,-54.803787772341764,-79.56698231436181,,
ACB,1wk,2021-11-08 00:00:00,BUY,85.0,WaveTrend,-26.284826890569096,-27.999999102424177,-47.176468793083636,-66.58823574290555,-81.99999977560604,,
ACB,1wk,2022-02-14 00:00:00,BUY_GOLD,41.29999923706055,WaveTrend,-59.78778992217192,-14.043581947226569,-29.055690609388197,-62.953994011202276,-77.33656215596719,,
ACB,1wk,2022-05-16 00:00:00,BUY_GOLD,29.299999237060547,WaveTrend,-58.72022456755286,-55.97269640125617,-47.78156795518811,-53.92491347602384,-77.20136517993718,,
ACB,1wk,2022-10-24 00:00:00,BUY_GOLD,12.800000190734863,WaveTrend,-51.193596848023134,3.124996973201677,-20.31250267755236,-53.12500069849192,-65.93749946448952,,
ACB,1wk,2023-01-16 00:00:00,BUY_GOLD,9.680000305175781,WaveTrend,-51.166973677190384,-3.3057917191121833,-36.15702857949032,-47.830578186710504,-57.541322273338814,,
ACB,1wk,2023-04-17 00:00:00,BUY_GOLD,6.179999828338623,WaveTrend,-60.69569889453576,8.090615111463784,-18.28478428789113,-27.831712588478176,4.530747857376927,,
ACB,1wk,2023-06-12 00:00:00,BUY_GOLD,5.400000095367432,WaveTrend,-56.83099851887726,-1.111110031850071,82.03703240929651,-11.11110914881831,6.2962901804837434,,
ACB,1wk,2023-07-31 00:00:00,BUY,5.46999979019165,WaveTrend,-47.48412680734466,-13.711152262653425,-10.420470140534466,-29.067636869050485,7.861066209670109,,
ACB,1wk,2023-12-04 00:00:00,BUY,5.179999828338623,WaveTrend,-31.806192757001472,-8.301155262326265,-38.610035286871415,9.652509972386714,-13.320464866535763,,
ACB,1wk,2024-03-18 00:00:00,BUY_GOLD,4.860000133514404,WaveTrend,-58.656610595282444,32.92180783286447,4.732510550512403,17.69546570064302,-8.23045441108209,,
ACB,1wk,2024-07-15 00:00:00,BUY,5.75,WaveTrend,-8.045796588234273,21.39130467953889,-2.782606041949731,-33.043479919433594,-21.217387655506958,,
ACB,1wk,2024-10-21 00:00:00,BUY,5.929999828338623,WaveTrend,-13.297971091291261,-26.812811497099055,-34.73861724135463,-18.887013793942497,-11.467113794658157,,
ACB,1wk,2024-12-30 00:00:00,BUY_GOLD,4.699999809265137,WaveTrend,-50.11071619680138,-22.34042035124841,-14.574467459109187,-3.404252210749048,-7.6595674741853585,,
ACB,1wk,2025-04-21 00:00:00,BUY,4.809999942779541,WaveTrend,-26.850668148106013,14.345115705380461,0.6237049930402527,9.147610446044974,-29.521826502450953,,
ACB,1wk,2025-08-11 00:00:00,BUY,5.079999923706055,WaveTrend,-6.72485078613913,-4.133859080725532,-15.157480167140813,-30.118110125355614,,,
ACB,1wk,2025-12-08 00:00:00,BUY,5.400000095367432,WaveTrend,-12.780395841195029,-21.66666769687039,-36.4814813670144,-43.703705404357464,,,
ACB,1wk,2026-04-06 00:00:00,BUY,3.430000066757202,WaveTrend,-49.51922232353854,-0.583089811581905,,,,,
ACB,1wk,2026-05-18 00:00:00,BUY,3.4600000381469727,WaveTrend,-39.8334574960955,-15.317918079377124,,,,,
AEVA,1wk,2020-07-27 00:00:00,SELL,49.70000076293945,WaveTrend,91.41222159078195,-1.1066382869568736,-0.5030181009301304,48.49094953493314,-11.871230252129994,,
AEVA,1wk,2021-01-04 00:00:00,SELL,88.80000305175781,WaveTrend,106.22816786511162,-5.855860809605884,-33.671171732338166,-38.963965202401475,-62.44369670270983,,
AEVA,1wk,2021-05-31 00:00:00,BUY,52.0,WaveTrend,-24.26247772397137,1.0576908405010466,0.0,-12.692304757925177,-71.25000036679782,,
AEVA,1wk,2021-08-23 00:00:00,BUY,51.79999923706055,WaveTrend,-35.07199885756191,-16.505790276041953,-5.888029501896996,-61.67953537870334,-73.45559806463761,,
AEVA,1wk,2021-11-01 00:00:00,BUY,41.0,WaveTrend,-41.95909026300266,10.731711038729031,-36.097559114781816,-61.46341416893936,-78.04878048780488,,
AEVA,1wk,2022-03-14 00:00:00,BUY_GOLD,23.049999237060547,WaveTrend,-59.62154798500351,-17.57049618704032,-35.14099651149647,-44.03470696090424,-64.42516233978478,,
AEVA,1wk,2022-05-23 00:00:00,BUY_GOLD,15.800000190734863,WaveTrend,-54.38984257137209,13.60759839398833,-12.974684594858331,-50.316456899565,-63.60759537603167,,
AEVA,1wk,2022-11-14 00:00:00,BUY,8.600000381469727,WaveTrend,-47.315945805670765,-13.953491079929659,0.5813864516596823,-43.604654773239545,-68.1395361860614,,
AEVA,1wk,2023-01-09 00:00:00,BUY_GOLD,8.449999809265137,WaveTrend,-52.13584859995675,2.958579948438378,-37.86982108279394,-23.668639587507066,-33.13609203668385,,
AEVA,1wk,2023-05-08 00:00:00,BUY_GOLD,4.889999866485596,WaveTrend,-51.978493214242455,42.12678934611191,10.429452818132056,-40.59304599781981,-31.49284261555232,,
AEVA,1wk,2023-07-10 00:00:00,BUY,6.449999809265137,WaveTrend,-17.545782300828677,-16.27906581314045,-44.186046339701754,-12.403096706274951,-53.02325486835967,,
AEVA,1wk,2023-11-06 00:00:00,BUY_GOLD,2.9049999713897705,WaveTrend,-63.96563862343408,-1.3769350171074612,84.16523088890409,15.318414376090583,48.709129576846834,,
AEVA,1wk,2024-07-08 00:00:00,BUY,3.0299999713897705,WaveTrend,-41.75426551191966,-5.280530935361738,14.521454170794733,48.18481232720062,761.386159337105,,
AEVA,1wk,2024-08-26 00:00:00,BUY,3.299999952316284,WaveTrend,-22.78701254091294,0.9090900552502612,39.39393851820539,8.484847740474578,348.63637936673564,,
AEVA,1wk,2025-03-24 00:00:00,BUY,6.710000038146973,WaveTrend,-16.796435645981212,9.090911029008897,442.9210148743346,125.78240733831775,90.2384541095759,,
AEVA,1wk,2025-07-07 00:00:00,SELL,26.100000381469727,WaveTrend,80.06975624612524,-49.501915277621166,-40.19157307078083,-23.869729698009714,,,
AEVA,1wk,2025-12-01 00:00:00,BUY,14.699999809265137,WaveTrend,-28.845673393622963,-13.265304997052363,-3.605440407129412,56.530615832927154,,,
AEVA,1wk,2026-03-02 00:00:00,BUY,14.170000076293945,WaveTrend,-13.261193573977605,-6.633736972452208,62.385321841860744,,,,
AEVA,1wk,2026-04-13 00:00:00,BUY,15.729999542236328,WaveTrend,-12.769776237333543,30.16529546928901,,,,,
AI,1wk,2021-08-30 00:00:00,BUY,50.61000061035156,WaveTrend,-32.54148266195241,-9.326222414108631,-41.21715146963453,-60.38332543912358,-71.32977661748137,,
AI,1wk,2021-10-25 00:00:00,BUY,45.119998931884766,WaveTrend,-39.47450041441977,-14.93793888148035,-48.29343866136588,-62.34485777190054,-70.87765812415132,,
AI,1wk,2021-12-27 00:00:00,BUY_GOLD,31.25,WaveTrend,-61.42030207206967,-25.34400024414063,-26.335998535156246,-38.720001220703125,-64.19200134277344,,
AI,1wk,2022-02-07 00:00:00,BUY_GOLD,25.0,WaveTrend,-64.65305100788215,-28.000000000000004,-28.879997253417965,-8.760002136230472,-8.040000915527346,,
AI,1wk,2022-05-16 00:00:00,BUY_GOLD,18.219999313354492,WaveTrend,-56.45433479895928,-7.464318080440913,8.671789150661379,-29.912179258954197,38.748636879016416,,
AI,1wk,2022-10-24 00:00:00,BUY,13.140000343322754,WaveTrend,-45.722973645148976,-4.033490660560246,35.23592080264828,35.61643249027511,89.11719735302401,,
AI,1wk,2022-12-12 00:00:00,BUY,12.619999885559082,WaveTrend,-38.619907185418626,0.23771579432041445,71.3153806282749,252.53567418313673,147.38509981350455,,
AI,1wk,2023-10-30 00:00:00,BUY,28.59000015258789,WaveTrend,-22.77291600128633,8.044768187426389,-12.48688239164305,-15.914652720450206,-12.451904326485785,,
AI,1wk,2024-02-05 00:00:00,BUY,28.469999313354492,WaveTrend,-20.295143223034547,11.3452810940879,-16.08710935780635,-12.363887022518838,17.597472250488554,,
AI,1wk,2024-05-06 00:00:00,BUY,23.889999389648438,WaveTrend,-30.305140641624178,25.575557833622355,4.4370087918474965,15.362076894334953,-2.176636934701448,,
AI,1wk,2024-09-23 00:00:00,BUY,24.219999313354492,WaveTrend,-31.80201225302629,4.376554101331243,47.52271079766472,-9.950453822198401,-29.232040150398618,,
