ticker,bar,price,ret_1M,ret_3M,ret_6M,ret_12M,system
ABSI,110,1.8700000047683716,-29.411762080953054,-6.951871385034081,191.9786109210881,135.2941221469376,💎 ASH STRONG solo
ABSI,247,3.5799999237060547,43.296095635954266,,,,💎 ASH STRONG solo
ACB,107,57.85920715332031,46.00001160380087,194.00001740570133,252.0000073842369,280.00000527445496,💎 ASH STRONG solo
ACB,141,225.07232666015625,-1.7994839440989119,-14.190228835403119,14.652950372669382,273.778909503103,💎 ASH STRONG solo
ACB,382,85.0,-27.999999102424177,-47.176468793083636,-66.58823574290555,-81.99999977560604,💎 ASH STRONG solo
ACB,521,6.010000228881836,7.487517339893013,-8.985031915558729,-31.28119871620526,-25.291188017915744,💎 ASH STRONG solo
ACB,551,6.03000020980835,-21.061358818209364,-19.568826933975924,-25.704811555622264,-42.28855890563741,💎 ASH STRONG solo
ACB,562,4.809999942779541,14.345115705380461,0.6237049930402527,9.147610446044974,-29.521826502450953,💎 ASH STRONG solo
ACB,578,5.079999923706055,-4.133859080725532,-15.157480167140813,-30.118110125355614,,💎 ASH STRONG solo
ACB,595,5.400000095367432,-21.66666769687039,-36.4814813670144,-43.703705404357464,,💎 ASH STRONG solo
AEVA,36,50.599998474121094,23.51779028603145,65.2173932710246,-7.114621704904356,-18.97232957236338,💎 ASH STRONG solo
AEVA,127,23.0,-40.21739130434783,-60.86956521739131,-58.4782600402832,-74.78260786637017,💎 ASH STRONG solo
AEVA,157,9.600000381469727,-38.02083778298546,-26.562500931322543,-48.437504035730996,-46.35416780494977,💎 ASH STRONG solo
AEVA,306,19.8700008392334,-37.59436791745664,-32.81328727923304,,,💎 ASH STRONG solo
AEVA,315,15.15999984741211,-11.939310581532492,64.18205567394706,,,💎 ASH STRONG solo
AEVA,320,15.729999542236328,30.16529546928901,,,,💎 ASH STRONG solo
AI,86,21.34000015258789,-32.00562265636996,-43.345829118366986,21.274596887142707,77.1321413625977,💎 ASH STRONG solo
AI,127,25.280000686645508,75.98892590999502,20.846512686999198,15.941450434476344,4.390817535022062,💎 ASH STRONG solo
AI,157,31.219999313354492,-16.04740659535757,-7.367070107771312,-6.9826984169555795,26.39333745146326,💎 ASH STRONG solo
AI,181,29.56999969482422,-2.062903674829375,-21.068649328822264,25.735545109537416,-10.077780091279243,💎 ASH STRONG solo
AI,204,27.559999465942383,47.02467794978289,21.480407079142584,-15.203188345075358,-43.6864994248541,💎 ASH STRONG solo
AI,238,25.75,-12.893202698346485,-25.592233602283066,-46.601941747572816,,💎 ASH STRONG solo
ALDX,124,6.730000019073486,2.971765359558942,-30.9063880804031,-21.248140033965257,32.24367894958089,💎 ASH STRONG solo
ALDX,176,8.899999618530273,-19.382016873392548,-27.52808892445463,-4.494377928932192,-11.797750100028647,💎 ASH STRONG solo
ALDX,208,8.0,8.124995231628418,-8.749997615814209,33.62499475479126,3.750002384185791,💎 ASH STRONG solo
ALDX,229,9.100000381469727,30.989006336379575,-20.21978104896206,-18.131873659747043,-34.945056833746904,💎 ASH STRONG solo
ALDX,448,6.519999980926514,6.748467155024951,14.723927008517457,63.34355290928811,-56.13497080579117,💎 ASH STRONG solo
